replicate,condition,arm,family,branch,nll,parent_nll,utility
2,DUPLICATED_STORY,geometry-shadow,ARITHMETIC,0,7.76617619395256,7.754682242870331,-0.0114939510822296
2,DUPLICATED_STORY,geometry-shadow,ARITHMETIC,1,7.729423344135284,7.754682242870331,0.0252588987350463
2,STORY_ARITHMETIC,parent,STORY,0,5.967703402042389,5.493913292884827,-0.4737901091575622
2,STORY_ARITHMETIC,parent,ARITHMETIC,0,6.840852111577988,7.754682242870331,0.9138301312923433
2,STORY_ARITHMETIC,capacity-shadow,STORY,0,5.939660519361496,5.493913292884827,-0.4457472264766693
2,STORY_ARITHMETIC,capacity-shadow,STORY,1,5.96423864364624,5.493913292884827,-0.4703253507614136
2,STORY_ARITHMETIC,capacity-shadow,ARITHMETIC,0,6.875069469213486,7.754682242870331,0.8796127736568451
2,STORY_ARITHMETIC,capacity-shadow,ARITHMETIC,1,6.863359063863754,7.754682242870331,0.8913231790065765
2,STORY_ARITHMETIC,geometry-shadow,STORY,0,5.493814766407013,5.493913292884827,9.85264778137207e-05
2,STORY_ARITHMETIC,geometry-shadow,STORY,1,6.5838348269462585,5.493913292884827,-1.089921534061432
2,STORY_ARITHMETIC,geometry-shadow,ARITHMETIC,0,7.750387281179428,7.754682242870331,0.0042949616909027
2,STORY_ARITHMETIC,geometry-shadow,ARITHMETIC,1,6.680446445941925,7.754682242870331,1.0742357969284058
2,WEAK_ARITHMETIC,parent,STORY,0,5.499594449996948,5.493913292884827,-0.0056811571121215
2,WEAK_ARITHMETIC,parent,ARITHMETIC,0,7.641496747732162,7.754682242870331,0.1131854951381683
2,WEAK_ARITHMETIC,capacity-shadow,STORY,0,5.499680668115616,5.493913292884827,-0.0057673752307891
2,WEAK_ARITHMETIC,capacity-shadow,STORY,1,5.499166488647461,5.493913292884827,-0.0052531957626342
2,WEAK_ARITHMETIC,capacity-shadow,ARITHMETIC,0,7.637655079364777,7.754682242870331,0.1170271635055542
2,WEAK_ARITHMETIC,capacity-shadow,ARITHMETIC,1,7.65391930937767,7.754682242870331,0.1007629334926605
2,WEAK_ARITHMETIC,geometry-shadow,STORY,0,5.49415311217308,5.493913292884827,-0.0002398192882537
2,WEAK_ARITHMETIC,geometry-shadow,STORY,1,5.514902561903,5.493913292884827,-0.0209892690181732
2,WEAK_ARITHMETIC,geometry-shadow,ARITHMETIC,0,7.775313943624496,7.754682242870331,-0.0206317007541656
2,WEAK_ARITHMETIC,geometry-shadow,ARITHMETIC,1,7.51488196849823,7.754682242870331,0.2398002743721008
