seed,parent_id,child_id,root_id,transition,candidate,family,rank,offline_oracle_auc,current_cosine_auc,auc,normalized_oracle_excess_recovery,old_fpr,current_tpr,historical_address_state_bytes
73613,4,8,4,A->B,rank-8,low_rank_gaussian,8,0.9285306065707974,0.5401493287454271,0.8707583946922234,0.8651853310061541,0.18018721044063568,0.7593297958374023,15400
73613,4,8,4,A->B,rank-16,low_rank_gaussian,16,0.9285306065707974,0.5401493287454271,0.8859889049027307,0.9007265735147942,0.14040561020374298,0.7486671805381775,27720
73613,4,8,4,A->B,rank-32,low_rank_gaussian,32,0.9285306065707974,0.5401493287454271,0.9001203612500935,0.9337031127180171,0.08736349642276764,0.7052551507949829,52360
73613,4,8,4,A->B,rank-64,low_rank_gaussian,64,0.9285306065707974,0.5401493287454271,0.9057665276908106,0.9468787560773071,0.0631825253367424,0.6785986423492432,101640
73613,4,8,4,A->B,rank-128,low_rank_gaussian,128,0.9285306065707974,0.5401493287454271,0.9027545260226251,0.9398500826943527,0.0397815927863121,0.6115765571594238,200200
73613,4,8,4,A->B,full-covariance,full_covariance_gaussian,,0.9285306065707974,0.5401493287454271,0.9115659675891986,0.9604120715732445,0.10062402486801147,0.7372429966926575,591368
73613,5,9,5,A->B,rank-0,low_rank_gaussian,0,0.8754602455293923,0.48727122012676893,0.5670505708509537,0.17858234433425452,0.5323343873023987,0.5959752202033997,3080
73613,5,9,5,A->B,rank-8,low_rank_gaussian,8,0.8754602455293923,0.48727122012676893,0.8379429100213887,0.9000764103397821,0.22397476434707642,0.7530959248542786,15400
73613,5,9,5,A->B,rank-16,low_rank_gaussian,16,0.8754602455293923,0.48727122012676893,0.8332946743366116,0.8876963095431637,0.19164037704467773,0.7244581580162048,27720
73613,5,9,5,A->B,rank-32,low_rank_gaussian,32,0.8754602455293923,0.48727122012676893,0.8456315740641267,0.920554381401398,0.17034700512886047,0.7151702642440796,52360
73613,5,9,5,A->B,rank-64,low_rank_gaussian,64,0.8754602455293923,0.48727122012676893,0.8596928685138342,0.9580052024061126,0.10804416984319687,0.6594427227973938,101640
73613,5,9,5,A->B,rank-128,low_rank_gaussian,128,0.8754602455293923,0.48727122012676893,0.8604076530163783,0.9599089578930252,0.07570978254079819,0.5859133005142212,200200
73613,5,9,5,A->B,full-covariance,full_covariance_gaussian,,0.8754602455293923,0.48727122012676893,0.8670787715717202,0.9776768005202405,0.1253943294286728,0.7143962383270264,591368
