arm,step,cell_id,certificate_rank,update_norm,violation_norm,violation_ratio,eligible_for_ratio
sgd_with_decay_grad_projection,22,6,60,6.42107697785832e-05,1.867848914116621e-05,0.29089339552666166,True
sgd_with_decay_grad_projection,22,7,53,5.132303340360522e-05,2.1889187337365e-05,0.42649830805458727,True
sgd_with_decay_grad_projection,23,0,58,6.809778278693557e-05,2.1192250642343424e-05,0.3112032354628422,True
sgd_with_decay_grad_projection,23,1,60,8.127926412271336e-05,2.196312925661914e-05,0.2702181081910592,True
sgd_with_decay_grad_projection,23,2,60,6.195653259055689e-05,1.9848459487548098e-05,0.3203610392201365,True
sgd_with_decay_grad_projection,23,3,49,5.8047637139679864e-05,1.959511064342223e-05,0.3375694734774664,True
sgd_with_decay_grad_projection,23,4,60,8.933069329941645e-05,2.468151069479063e-05,0.2762937295893363,True
sgd_with_decay_grad_projection,23,5,53,0.0002097620308632031,1.894083288789261e-05,0.09029676495622872,True
sgd_with_decay_grad_projection,23,6,60,6.595444574486464e-05,1.952928869286552e-05,0.2961026838480169,True
sgd_with_decay_grad_projection,23,7,53,5.583055826718919e-05,2.288183350174222e-05,0.4098442466290955,True
sgd_with_decay_grad_projection,24,0,58,6.578108877874911e-05,2.2111251382739283e-05,0.3361338563576432,True
sgd_with_decay_grad_projection,24,1,60,7.224022556329146e-05,2.2917591195437126e-05,0.317241408086649,True
sgd_with_decay_grad_projection,24,2,60,6.598490290343761e-05,2.0710316675831564e-05,0.3138644667292244,True
sgd_with_decay_grad_projection,24,3,49,5.90151030337438e-05,2.044857137661893e-05,0.3464972520412197,True
sgd_with_decay_grad_projection,24,4,60,6.625113019254059e-05,2.5755345632205717e-05,0.3887532962622922,True
sgd_with_decay_grad_projection,24,5,53,7.602723781019449e-05,1.976522253244184e-05,0.2599755408951077,True
sgd_with_decay_grad_projection,24,6,60,7.29782332200557e-05,2.0376612155814655e-05,0.2792149244714776,True
sgd_with_decay_grad_projection,24,7,53,5.5564836657140404e-05,2.3876073100836948e-05,0.4296975228860177,True
sgd_with_decay_grad_projection,25,0,58,6.742221739841625e-05,2.303355540789198e-05,0.3416315267436089,True
sgd_with_decay_grad_projection,25,1,60,7.519408973166719e-05,2.38707652897574e-05,0.31745533535262876,True
sgd_with_decay_grad_projection,25,2,60,6.717425276292488e-05,2.157427297788672e-05,0.3211687777586313,True
sgd_with_decay_grad_projection,25,3,49,6.10441857133992e-05,2.130026405211538e-05,0.3489318999714017,True
sgd_with_decay_grad_projection,25,4,60,7.335963164223358e-05,2.6826113753486425e-05,0.36567949957320905,True
sgd_with_decay_grad_projection,25,5,53,8.186353807104751e-05,2.0587891413015313e-05,0.251490366121938,True
sgd_with_decay_grad_projection,25,6,60,7.075681787682697e-05,2.122576188412495e-05,0.2999818564635392,True
sgd_with_decay_grad_projection,25,7,53,5.866557694389485e-05,2.4871853383956477e-05,0.4239599140699306,True
sgd_with_decay_grad_projection,26,0,58,7.023980288067833e-05,2.3954185962793417e-05,0.3410343514552832,True
sgd_with_decay_grad_projection,26,1,60,8.131808135658503e-05,2.4826969820423983e-05,0.3053068776456892,True
sgd_with_decay_grad_projection,26,2,60,7.282006845343858e-05,2.2435060600400902e-05,0.30808897559135073,True
sgd_with_decay_grad_projection,26,3,49,6.592419958906248e-05,2.2149666619952768e-05,0.3359868822380173,True
sgd_with_decay_grad_projection,26,4,60,7.658570393687114e-05,2.7898926418856718e-05,0.3642837320862103,True
sgd_with_decay_grad_projection,26,5,53,9.718011278891936e-05,2.1413779904833063e-05,0.22035145946983548,True
sgd_with_decay_grad_projection,26,6,60,8.316550520248711e-05,2.207544275734108e-05,0.2654398892684297,True
sgd_with_decay_grad_projection,26,7,53,6.178075273055583e-05,2.586620394140482e-05,0.41867737733040616,True
sgd_with_decay_grad_projection,27,0,58,7.204811117844656e-05,2.487633901182562e-05,0.34527398789037894,True
