replicate,input_family,candidate_family,candidate_kind,matching_family,full_value,best_value,best_recruitment,min_small_value,first_positive_recruitment,full_beneficial,activation_barrier,nonmonotonic
2,PARITY,LOCAL_RULE,trained,0,4.315145965665579,4.315145965665579,1.0,0.00026960298418994056,0.0001,1,0,0
2,PARITY,LOOKUP,trained,0,5.2881176099181175,5.2881176099181175,1.0,-0.0007206983864307199,0.01,1,0,1
2,PARITY,MOD_ADD,trained,0,4.300252323970199,4.300252323970199,1.0,0.00026523694396014385,0.0001,1,0,0
2,PARITY,PARITY,trained,1,5.678567515686154,5.678567515686154,1.0,0.0004404187202453168,0.0001,1,0,0
2,PARITY,RANDOM,untrained-control,0,-0.033503949642181355,0.0,0.0,-0.0007071271538733996,,0,0,0
2,PARITY,REVERSE_INC,trained,0,4.283299112692475,4.283299112692475,1.0,0.0002748221158980854,0.0001,1,0,0
2,REVERSE_INC,DELAY_COPY,trained,0,0.9527886155992746,0.9527886155992746,1.0,0.00017260760068889226,0.0001,1,0,0
2,REVERSE_INC,LOCAL_RULE,trained,0,0.9425179902464151,0.9425179902464151,1.0,0.00018178671598429762,0.0001,1,0,0
2,REVERSE_INC,LOOKUP,trained,0,0.4750359673053026,0.4750359673053026,1.0,1.2543052434920214e-05,0.0001,1,0,0
2,REVERSE_INC,MOD_ADD,trained,0,0.9361937344074249,0.9361937344074249,1.0,0.00018326938152308633,0.0001,1,0,0
2,REVERSE_INC,PARITY,trained,0,0.16175824590027332,0.6492788083851337,0.5,0.00013140216469762278,0.0001,1,0,1
2,REVERSE_INC,RANDOM,untrained-control,0,-0.00708116218447683,0.0,0.0,-0.00014378875494000862,,0,0,0
2,REVERSE_INC,REVERSE_INC,trained,1,0.9356726408004761,0.9356726408004761,1.0,0.0001853611320256741,0.0001,1,0,0
