replicate,input_family,candidate_family,candidate_kind,matching_family,recruitment,mean_value,median_value,positive_fraction,mean_loss
1,PARITY,MOD_ADD,trained,0,0.01,0.11252772435545917,0.11205339431762695,1.0,11.94813934713602
1,PARITY,MOD_ADD,trained,0,0.02,0.22844273224472997,0.2271575927734375,1.0,11.83222433924675
1,PARITY,MOD_ADD,trained,0,0.05,0.5847700983285904,0.5811467170715332,1.0,11.47589697316289
1,PARITY,MOD_ADD,trained,0,0.1,1.186100035905838,1.1797137260437012,1.0,10.874567035585642
1,PARITY,MOD_ADD,trained,0,0.25,2.6819278225302696,2.671914577484131,1.0,9.37873924896121
1,PARITY,MOD_ADD,trained,0,0.5,3.7983824387192726,3.7871832847595215,1.0,8.262284632772207
1,PARITY,MOD_ADD,trained,0,1.0,4.554001320153475,4.551035165786743,1.0,7.506665751338005
1,PARITY,PARITY,trained,1,0.0,0.0,0.0,0.0,12.06066707149148
1,PARITY,PARITY,trained,1,0.0001,0.0008135810494422508,0.0010585784912109,0.9375,12.059853490442038
1,PARITY,PARITY,trained,1,0.0003,0.0027431510388850728,0.0031890869140625,0.98828125,12.057923920452595
1,PARITY,PARITY,trained,1,0.001,0.010261218994855834,0.0106911659240722,1.0,12.050405852496624
1,PARITY,PARITY,trained,1,0.003,0.03261137381196017,0.03265380859374995,1.0,12.02805569767952
1,PARITY,PARITY,trained,1,0.01,0.1125925630331039,0.11219930648803705,1.0,11.948074508458376
1,PARITY,PARITY,trained,1,0.02,0.22760664299130437,0.22670793533325195,1.0,11.833060428500175
1,PARITY,PARITY,trained,1,0.05,0.5645972080528736,0.5623626708984375,1.0,11.496069863438606
1,PARITY,PARITY,trained,1,0.1,1.0896535627543926,1.0864319801330566,1.0,10.971013508737087
1,PARITY,PARITY,trained,1,0.25,2.2348217964172363,2.218801975250244,1.0,9.825845275074244
1,PARITY,PARITY,trained,1,0.5,4.107381762936711,4.094106674194336,1.0,7.953285308554769
1,PARITY,PARITY,trained,1,1.0,5.964586511254311,5.945250749588013,1.0,6.096080560237169
1,PARITY,RANDOM,untrained-control,0,0.0,0.0,0.0,0.0,12.06066707149148
1,PARITY,RANDOM,untrained-control,0,0.0001,-2.9727816581726074e-06,-2.86102294921875e-06,0.0,12.060670044273138
1,PARITY,RANDOM,untrained-control,0,0.0003,-8.974224328994751e-06,-8.58306884765625e-06,0.0,12.060676045715809
1,PARITY,RANDOM,untrained-control,0,0.001,-3.058090806007385e-05,-2.86102294921875e-05,0.0,12.06069765239954
1,PARITY,RANDOM,untrained-control,0,0.003,-9.131431579588311e-05,-8.58306884765625e-05,0.0,12.060758385807276
1,PARITY,RANDOM,untrained-control,0,0.01,-0.000302542001008943,-0.0002851486206054,0.0,12.060969613492489
1,PARITY,RANDOM,untrained-control,0,0.02,-0.0006005167961120172,-0.0005645751953125,0.0,12.061267588287592
1,PARITY,RANDOM,untrained-control,0,0.05,-0.0014759078621863892,-0.0014071464538574,0.0,12.062142979353666
1,PARITY,RANDOM,untrained-control,0,0.1,-0.0028916932642459414,-0.00274848937988275,0.0,12.063558764755726
