run,row,task,baseline_nll,ablated_nll,delta_nll,delta_token_accuracy
r0-B,3,INC_SWAP,0.8240929194859096,0.8256146836280823,0.0015217641421727,0.0
r0-B,4,REVERSE,1.043998349734715,1.0432581765311104,-0.0007401732036045,-0.0066666666666665
r0-B,4,ROTATE,0.8717199155262538,0.8724616391318185,0.0007417236055646,0.0066666666666667
r0-B,4,INC,1.2164918490818568,1.2152241577420917,-0.0012676913397651,-0.0016666666666667
r0-B,4,SWAP,0.8791032402856009,0.8781700815473285,-0.0009331587382724,0.0
r0-B,4,REVERSE_ROTATE,1.2421648338862827,1.2441721003396171,0.0020072664533343,0.0016666666666666
r0-B,4,REVERSE_INC,1.1155285501480103,1.1157838262830462,0.0002552761350358,0.0016666666666667
r0-B,4,REVERSE_SWAP,1.2005601508276804,1.203902508871896,0.0033423580442155,-0.0033333333333332
r0-B,4,ROTATE_INC,0.9209753199986048,0.9220161816052028,0.0010408616065978,0.0
r0-B,4,ROTATE_SWAP,1.175959162712097,1.1753040521485465,-0.0006551105635506,-0.0133333333333333
r0-B,4,INC_SWAP,0.8240929194859096,0.8241482973098755,5.5377823965918616e-05,-0.0033333333333332
r0-B,5,REVERSE,1.043998349734715,1.043242461340768,-0.0007558883939469,-0.0066666666666665
r0-B,5,ROTATE,0.8717199155262538,0.8710020174298968,-0.000717898096357,0.0033333333333332
r0-B,5,INC,1.2164918490818568,1.213749314035688,-0.0027425350461687,0.0
r0-B,5,SWAP,0.8791032402856009,0.8794794457299369,0.0003762054443359,-0.0033333333333332
r0-B,5,REVERSE_ROTATE,1.2421648338862827,1.2408460603441511,-0.0013187735421316,0.0016666666666666
r0-B,5,REVERSE_INC,1.1155285501480103,1.1152463187490191,-0.0002822313989911,-0.0016666666666667
r0-B,5,REVERSE_SWAP,1.2005601508276804,1.2030706344332014,0.0025104836055209,-0.0016666666666666
r0-B,5,ROTATE_INC,0.9209753199986048,0.9213180099214826,0.0003426899228776,0.0083333333333333
r0-B,5,ROTATE_SWAP,1.175959162712097,1.175675735814231,-0.0002834268978664,-0.0116666666666667
r0-B,5,INC_SWAP,0.8240929194859096,0.8239298040526254,-0.0001631154332841,-0.0033333333333332
r0-B,6,REVERSE,1.043998349734715,1.0436633130482265,-0.0003350366864884,-0.0016666666666665
r0-B,6,ROTATE,0.8717199155262538,0.8699621139253889,-0.0017578016008649,0.0033333333333332
r0-B,6,INC,1.2164918490818568,1.2146058225631713,-0.0018860265186855,-0.0033333333333332
r0-B,6,SWAP,0.8791032402856009,0.877915678024292,-0.0011875622613088,-0.005
r0-B,6,REVERSE_ROTATE,1.2421648338862827,1.2430523947307042,0.0008875608444214,-0.0016666666666667
r0-B,6,REVERSE_INC,1.1155285501480103,1.1145381886618475,-0.0009903614861626,-0.0016666666666667
r0-B,6,REVERSE_SWAP,1.2005601508276804,1.2014045994622369,0.0008444486345562,0.0016666666666666
r0-B,6,ROTATE_INC,0.9209753199986048,0.919937845298222,-0.0010374747003828,0.0
r0-B,6,ROTATE_SWAP,1.175959162712097,1.1762140239988057,0.0002548612867083,-0.005
r0-B,6,INC_SWAP,0.8240929194859096,0.8238782562528337,-0.0002146632330758,0.0
r0-B,7,REVERSE,1.043998349734715,1.0445318283353533,0.0005334786006383,-0.0033333333333332
r0-B,7,ROTATE,0.8717199155262538,0.8739388264928545,0.0022189109666006,0.0066666666666667
r0-B,7,INC,1.2164918490818568,1.2149984312057496,-0.0014934178761072,0.005
r0-B,7,SWAP,0.8791032402856009,0.8739301225117274,-0.0051731177738735,-0.01
r0-B,7,REVERSE_ROTATE,1.2421648338862827,1.24260427406856,0.0004394401822771,0.0016666666666666
r0-B,7,REVERSE_INC,1.1155285501480103,1.1139722432409014,-0.0015563069071089,-0.0083333333333333
