run,task,row,mean_activity
r1-A,ROTATE_INC,1,1.0
r1-A,ROTATE_INC,2,1.0
r1-A,ROTATE_INC,3,1.0
r1-A,ROTATE_INC,4,1.0
r1-A,ROTATE_INC,5,1.0
r1-A,ROTATE_INC,6,1.0
r1-A,ROTATE_INC,7,1.0
r1-A,ROTATE_SWAP,0,1.0
r1-A,ROTATE_SWAP,1,1.0
r1-A,ROTATE_SWAP,2,1.0
r1-A,ROTATE_SWAP,3,1.0
r1-A,ROTATE_SWAP,4,1.0
r1-A,ROTATE_SWAP,5,1.0
r1-A,ROTATE_SWAP,6,1.0
r1-A,ROTATE_SWAP,7,1.0
r1-A,INC_SWAP,0,1.0
r1-A,INC_SWAP,1,1.0
r1-A,INC_SWAP,2,1.0
r1-A,INC_SWAP,3,1.0
r1-A,INC_SWAP,4,1.0
r1-A,INC_SWAP,5,1.0
r1-A,INC_SWAP,6,1.0
r1-A,INC_SWAP,7,1.0
r1-B,REVERSE,0,1.0
r1-B,REVERSE,1,0.4310714638233184
r1-B,REVERSE,2,0.3583333626389503
r1-B,REVERSE,3,0.2219047781825065
r1-B,REVERSE,4,0.1825000101327896
r1-B,REVERSE,5,0.2595238284766674
r1-B,REVERSE,6,0.1663095369935035
r1-B,REVERSE,7,0.3803571665287018
r1-B,ROTATE,0,1.0
r1-B,ROTATE,1,0.4135714635252953
r1-B,ROTATE,2,0.3697619381546974
r1-B,ROTATE,3,0.2113095384836197
r1-B,ROTATE,4,0.1876190580427646
r1-B,ROTATE,5,0.2586904953420162
r1-B,ROTATE,6,0.1771428710222244
r1-B,ROTATE,7,0.3819047844409942
r1-B,INC,0,1.0
r1-B,INC,1,0.5227381372451783
r1-B,INC,2,0.338690502345562
r1-B,INC,3,0.1975000143051147
r1-B,INC,4,0.1734523889422416
r1-B,INC,5,0.2427381138503551
r1-B,INC,6,0.1557142957299947
r1-B,INC,7,0.369166693687439
r1-B,SWAP,0,1.0
r1-B,SWAP,1,0.4189286106824875
r1-B,SWAP,2,0.3598809815943241
r1-B,SWAP,3,0.2082143016159534
r1-B,SWAP,4,0.1900000110268593
r1-B,SWAP,5,0.2603571613132953
r1-B,SWAP,6,0.1810714435577392
r1-B,SWAP,7,0.381547646522522
r1-B,REVERSE_ROTATE,0,1.0
r1-B,REVERSE_ROTATE,1,0.4291667047142982
r1-B,REVERSE_ROTATE,2,0.3598809815198183
r1-B,REVERSE_ROTATE,3,0.2194047780334949
r1-B,REVERSE_ROTATE,4,0.183809535652399
r1-B,REVERSE_ROTATE,5,0.2602381141483784
r1-B,REVERSE_ROTATE,6,0.1680952504277229
r1-B,REVERSE_ROTATE,7,0.37940478682518
r1-B,REVERSE_INC,0,1.0
r1-B,REVERSE_INC,1,0.5210714673995972
r1-B,REVERSE_INC,2,0.3213095472753048
r1-B,REVERSE_INC,3,0.2191666840016841
r1-B,REVERSE_INC,4,0.1672619132697582
r1-B,REVERSE_INC,5,0.2359523995220661
r1-B,REVERSE_INC,6,0.159761916399002
r1-B,REVERSE_INC,7,0.3754762133955955
r1-B,REVERSE_SWAP,0,1.0
r1-B,REVERSE_SWAP,1,0.4455952775478363
r1-B,REVERSE_SWAP,2,0.3494047890603542
r1-B,REVERSE_SWAP,3,0.2147619204223156
r1-B,REVERSE_SWAP,4,0.1828571525216102
r1-B,REVERSE_SWAP,5,0.2523809720575809
r1-B,REVERSE_SWAP,6,0.1747619191557169
r1-B,REVERSE_SWAP,7,0.3802381202578545
r1-B,ROTATE_INC,0,1.0
r1-B,ROTATE_INC,1,0.5061905211210251
r1-B,ROTATE_INC,2,0.3414285996556282
r1-B,ROTATE_INC,3,0.2160714456439018
r1-B,ROTATE_INC,4,0.1714285798370838
r1-B,ROTATE_INC,5,0.2357143038511276
r1-B,ROTATE_INC,6,0.1603571534156799
r1-B,ROTATE_INC,7,0.3688095477223396
r1-B,ROTATE_SWAP,0,1.0
r1-B,ROTATE_SWAP,1,0.4392857527732849
r1-B,ROTATE_SWAP,2,0.347380980104208
r1-B,ROTATE_SWAP,3,0.2220238281786442
r1-B,ROTATE_SWAP,4,0.1835714399814605
r1-B,ROTATE_SWAP,5,0.2545238295197486
r1-B,ROTATE_SWAP,6,0.1707142986357212
r1-B,ROTATE_SWAP,7,0.382500025331974
r1-B,INC_SWAP,0,1.0
r1-B,INC_SWAP,1,0.5250000473856926
r1-B,INC_SWAP,2,0.3332143135368824
r1-B,INC_SWAP,3,0.1920238237082958
r1-B,INC_SWAP,4,0.1755952470004558
r1-B,INC_SWAP,5,0.2491666863858699
r1-B,INC_SWAP,6,0.1571428668498992
r1-B,INC_SWAP,7,0.3678571689128875
r1-C,REVERSE,0,1.0
r1-C,REVERSE,1,0.5907143348455429
r1-C,REVERSE,2,0.1669047743827104
r1-C,REVERSE,3,0.0777381005138158
r1-C,REVERSE,4,0.2896428775787353
r1-C,REVERSE,5,0.3194047871232033
r1-C,REVERSE,6,0.3539285992085934
r1-C,REVERSE,7,0.2016666799038648
r1-C,ROTATE,0,1.0
r1-C,ROTATE,1,0.6013095739483834
r1-C,ROTATE,2,0.1700000122934579
