replicate,stage,arm,step,stream_key_posthoc,family_posthoc,branch,route_margin,candidate_parent_branch
0,A_STORY_NULL,incumbent,81,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,81,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,81,STORY,STORY,1,0.8721102476119995,0
0,A_STORY_NULL,incumbent,82,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,82,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,82,STORY,STORY,0,0.1921677589416504,0
0,A_STORY_NULL,incumbent,83,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,83,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,83,STORY,STORY,0,1.002158761024475,0
0,A_STORY_NULL,incumbent,84,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,84,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,84,STORY,STORY,1,0.9068052172660828,0
0,A_STORY_NULL,incumbent,85,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,85,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,85,STORY,STORY,0,0.2428168654441833,0
0,A_STORY_NULL,incumbent,86,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,86,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,86,STORY,STORY,0,0.5222817659378052,0
0,A_STORY_NULL,incumbent,87,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,87,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,87,STORY,STORY,0,0.667584240436554,0
0,A_STORY_NULL,incumbent,88,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,88,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,88,STORY,STORY,1,1.1549770832061768,0
0,A_STORY_NULL,incumbent,89,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,89,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,89,STORY,STORY,1,0.807479739189148,0
0,A_STORY_NULL,incumbent,90,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,90,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,90,STORY,STORY,1,0.0326772928237915,0
0,A_STORY_NULL,incumbent,91,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,91,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,91,STORY,STORY,0,0.0317946672439575,0
0,A_STORY_NULL,incumbent,92,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,92,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,92,STORY,STORY,0,0.7785178422927856,0
0,A_STORY_NULL,incumbent,93,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,93,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,93,STORY,STORY,1,1.147734522819519,0
0,A_STORY_NULL,incumbent,94,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,94,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,94,STORY,STORY,0,0.766226589679718,0
0,A_STORY_NULL,incumbent,95,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,95,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,95,STORY,STORY,0,0.4828982353210449,0
0,A_STORY_NULL,incumbent,96,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,96,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,96,STORY,STORY,0,0.1937487125396728,0
0,A_STORY_NULL,incumbent,97,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,97,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,97,STORY,STORY,1,0.7046043872833252,0
0,A_STORY_NULL,incumbent,98,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,98,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,98,STORY,STORY,1,0.4045840501785278,0
0,A_STORY_NULL,incumbent,99,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,99,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,99,STORY,STORY,1,0.6035548448562622,0
0,A_STORY_NULL,incumbent,100,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,100,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,100,STORY,STORY,0,0.183059811592102,0
0,A_STORY_NULL,incumbent,101,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,101,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,101,STORY,STORY,0,0.6304243803024292,0
0,A_STORY_NULL,incumbent,102,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,102,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,102,STORY,STORY,1,0.1867257356643676,0
0,A_STORY_NULL,incumbent,103,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,103,STORY,STORY,0,,0
