replicate,stage,arm,window,step_end,prequential_nll
2,E_TRANSFORM_BIRTH,geometry-shadow,0,64,6.328697890043259
2,E_TRANSFORM_BIRTH,incumbent,1,128,6.278294056653976
2,E_TRANSFORM_BIRTH,capacity-shadow,1,128,6.278238065540791
2,E_TRANSFORM_BIRTH,geometry-shadow,1,128,6.278284758329392
2,E_TRANSFORM_BIRTH,incumbent,2,192,6.35622038692236
2,E_TRANSFORM_BIRTH,capacity-shadow,2,192,6.35618032515049
2,E_TRANSFORM_BIRTH,geometry-shadow,2,192,6.339749813079834
2,E_TRANSFORM_BIRTH,incumbent,3,256,6.403120882809162
2,E_TRANSFORM_BIRTH,capacity-shadow,3,256,6.403110548853874
2,E_TRANSFORM_BIRTH,geometry-shadow,3,256,6.375379577279091
