run,row,task,baseline_nll,ablated_nll,delta_nll
r1-D,5,INC,1.420607647895813,1.4284566586358207,0.0078490107400077
r1-D,5,SWAP,1.0603532675334386,1.0900428479058402,0.0296895803724015
r1-D,5,REVERSE_ROTATE,1.2778013208934238,1.3173960747037614,0.0395947538103376
r1-D,5,REVERSE_INC,1.1638117946897235,1.1771118988309588,0.0133001041412352
r1-D,5,REVERSE_SWAP,1.2490677513395037,1.283562526021685,0.0344947746821813
r1-D,5,ROTATE_INC,1.0503609071459088,1.0669842420305524,0.0166233348846436
r1-D,5,ROTATE_SWAP,1.199666086605617,1.236143684727805,0.0364775981221878
r1-D,5,INC_SWAP,1.0498719937460763,1.0921383006232126,0.0422663068771362
r1-D,6,REVERSE,1.1078253167016163,1.217483008589063,0.1096576918874467
r1-D,6,ROTATE,0.9551480054855348,1.085934216635568,0.1307862111500332
r1-D,6,INC,1.420607647895813,1.4457564517429895,0.0251488038471767
r1-D,6,SWAP,1.0603532675334386,1.1795619092668803,0.1192086417334419
r1-D,6,REVERSE_ROTATE,1.2778013208934238,1.392850956235613,0.1150496353421892
r1-D,6,REVERSE_INC,1.1638117946897235,1.2058427667617797,0.0420309720720561
r1-D,6,REVERSE_SWAP,1.2490677513395037,1.3451529938834057,0.0960852425439018
